feature,mean_abs_shap
Ch5_alpha,0.03661500573245416
Ch3_alpha,0.03046585681689865
Ch0_beta,0.028737941447306594
Ch6_alpha,0.02857734165019815
Ch2_alpha,0.02769398802176348
Ch4_alpha,0.025583194047440094
Ch1_alpha,0.020697788876018065
Ch7_alpha,0.01632684126757624
Ch1_beta,0.015260035632470501
Ch0_theta,0.013120046413976521
Ch6_beta,0.013039074662215168
Ch3_theta,0.012269842463210506
Ch7_beta,0.009610879642251852
Ch6_delta,0.008622231897978408
Ch2_beta,0.008372922614757132
Ch7_delta,0.008238233967418691
Ch5_beta,0.008002714509288328
Ch3_beta,0.007854519565694138
Ch0_alpha,0.00769702165078627
Ch2_theta,0.007509580271717807
Ch6_theta,0.0070429067523091445
Ch1_theta,0.006579055974775624
Ch4_theta,0.006571653973987588
Ch7_theta,0.006558523818249164
Ch0_delta,0.006173666497490264
Ch5_theta,0.006030115257844981
Ch5_delta,0.005487860291984956
Ch4_beta,0.005386865931239746
Ch4_delta,0.005075928085776845
Ch3_delta,0.004837229138605489
Ch1_delta,0.004739354317747638
Ch2_delta,0.004670868579528562
